,Name of movie,Year of relase,Watchtime,Movie Rating,Metascore,Vote,Gross,Description,Director,Stars
819,Miracle,2004,135,7.4,68,"55,754",$64.38M,"The true story of Herb Brooks, the player-turned-coach who led the 1980 U.S. Olympic hockey team to victory over the seemingly invincible Soviet squad.",Gavin O'Connor,"['Kurt Russell', 'Patricia Clarkson', 'Nathan West', 'Noah Emmerich']"
820,The Natural,1984,138,7.4,61,"50,102",$47.95M,A middle-aged unknown comes seemingly out of nowhere to become a legendary baseball player with almost supernatural talent.,Barry Levinson,"['Robert Redford', 'Robert Duvall', 'Glenn Close', 'Kim Basinger']"
821,Hoosiers,1986,114,7.4,76,"48,135",$28.61M,A coach with a checkered past and a local drunk train a small town high school basketball team to become a top contender for the championship.,David Anspaugh,"['Gene Hackman', 'Barbara Hershey', 'Dennis Hopper', 'Sheb Wooley']"
822,Searching for Bobby Fischer,1993,109,7.4,89,"40,811",$7.27M,A prepubescent chess prodigy is encouraged to harden himself in order to become a champion like the famous but unlikable Bobby Fischer.,Steven Zaillian,"['Joe Mantegna', 'Ben Kingsley', 'Max Pomeranc', 'Joan Allen']"
823,"McFarland, USA",2015,129,7.4,60,"39,756",$44.47M,"Jim White moves his family after losing his last job as a football coach, and at his new school he turns seven disappointing students into one of the best cross-country teams in the region.",Niki Caro,"['Kevin Costner', 'Maria Bello', 'Ramiro Rodriguez', 'Carlos Pratts']"
824,Trận Đấu Vĩ Đại Nhất,2005,120,7.4,55,"31,540",$15.33M,"In the 1913 U.S. Open, twenty-year-old Francis Ouimet played golf against his idol, 1900 U.S. Open champion, Englishman Harry Vardon.",Bill Paxton,"['Shia LaBeouf', 'Stephen Dillane', 'Elias Koteas', 'James Paxton']"
825,Jhund,2022,176,7.4,^^^^^^,"25,166",*****,"Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them into soccer players and building a whole team.",Nagraj Manjule,"['Amitabh Bachchan', 'Ankush Gedam', 'Babu Kshatriya', 'Jerico Robert']"
826,Hustle: Cuộc Đua NBA,2022,117,7.3,68,"125,168",*****,A basketball scout discovers a phenomenal street ball player while in Spain and sees the prospect as his opportunity to get back into the NBA.,Jeremiah Zagar,"['Adam Sandler', 'Queen Latifah', 'Juancho Hernangomez', 'Ben Foster']"
827,Quản Lý Và Người Tình,1996,139,7.3,77,"271,292",$153.95M,"When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent agent with the only athlete who stays with him and his former colleague.",Cameron Crowe,"['Tom Cruise', 'Cuba Gooding Jr.', 'Renée Zellweger', 'Kelly Preston']"
828,The Karate Kid,1984,126,7.3,60,"229,513",$90.82M,A martial arts master agrees to teach karate to a bullied teenager.,John G. Avildsen,"['Ralph Macchio', 'Pat Morita', 'Elisabeth Shue', 'Martin Kove']"
829,A League of Their Own,1992,128,7.3,69,"111,546",$107.53M,Two sisters join the first female professional baseball league and struggle to help it succeed amid their own growing rivalry.,Penny Marshall,"['Tom Hanks', 'Geena Davis', 'Lori Petty', 'Madonna']"
830,Con Đường Võ Sĩ,2015,124,7.3,57,"242,251",$52.42M,"After a fatal incident sends him on a rampant path of destruction, a champion boxer fights to get custody of his daughter and revive his professional career.",Antoine Fuqua,"['Jake Gyllenhaal', 'Rachel McAdams', 'Oona Laurence', 'Forest Whitaker']"
831,Kỵ Sĩ Bóng Đêm,2008,152,9.0,84,"2,672,079",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
832,Aynabaji,2016,147,9.0,^^^^^^,"27,319",*****,Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »,Amitabh Reza Chowdhury,"['Chanchal Chowdhury', 'Masuma Rahman Nabila', 'Partha Barua', 'Lutfur Rahman George']"
833,Kẻ Đánh Cắp Giấc Mơ,2010,148,8.8,74,"2,370,473",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
